vcode,village,altitude_m,urban
HKA,Kanamanda,1827,0
HTA,Takaipos,1618,0
HMU,Mukrumanda,1792,0
HIR,Irelya T/Up Miss/Sch & A/P ,2021,0
HKU,Kundis,1963,0
PBU,Bundralis,24,0
PNY,Nyada,60,0
PTA,Tamat DPI Stn,76,URBAN
PTI,Tingou,315,0
PLA,Lawes,42,0
OTP,Top Tower,67,1
QTA,Tandis,15,0
OPA,Paiawa,47,0
QUG,UGANA,12,0
NYW,Yawik,17,0
NMA,Mansu/Mapau-Y C Street,6,URBAN
NNI,Nindiko,133,0
NYE,Yenigo,219,0
OAM,AMINI,74,0
QHI,Hilalon Plantation,25,0
QLA,Lavali,32,0
NSA,Sarapa,37,0
QPU,Purunkom,16,0
RNA,Napapar No.2 Village,278,0
RKA,Kabakaul,35,urban
RRU,Rusty/Wiltane Platation,439,0
MKU,Kulili Plantation,82.644531,0
MAW,Awam,189.989685,0
THA,BTHA,68,0
RMI,Milim Sub District Office,128,0
MSA,Sagalau,81.66954800000001,urban
ATB,Tabubil,490,1
SMI,Mixed Settlement,119,1
MBU,Buru (Bur),132.823181,0
IWN,Wania,1221,0
IYA,Yakismanda.1,1322,0
SGA,Galilo,106,0
SKU,Kulungi,121,0
TIO,Iokomori,2,0
MKW,Kwanje,511.7948,0
SMA,Malalimi,111.189956069999,0
VYA,Yambedop 1,1633,0
VGO,Goldop,1590,0
IKU,Kuk Research,1611,1
VAV,Avi Market,1593,0
IWA,Wanka,1807,yes
IKM,Kimininga Police Barracks,1729,yes
VKU,Kurumul Tea/Coffee,1522,0
IPU,PULUMONG,2356,0
VDM,Domil,1648,0
UPI,Pai,1617,no
JGE,Gembogl Stn,2102.969482,no
UPA,Page,1575,0
VPO,Police Residence,1612,yes
JKE,Kendine H/C,1754.697021,0
KSI,Sikinumuga,1909.032715,0
UAN,Andawana,2330,0
RSA,Sahalil,33,0
KMU,Muritoka,1769.547363,0
UPO,Poroloma,2118,0
KWI,WIHANONI,1772.224731,1
AGU,Gusiore,60,0
USE,SEBIBA,2092,0
KLA,Lahamenegu,1461.872803,0
GLI,Lipite 2,2236,0
JUR,Urumil,1930.367065,0
JOF,Ofu,1847.517334,0
LMA,Marafau,364,0
GKA,Kaweri,1815,0
LHA,Hagona,612,0
TRU,Rumba SDA,85,0
KLO,Lodopulo,1801.239502,0
BBE,BEMA,962,0
GUT,Utupia,1484,0
JKA,Karaweri H/Sch,1981.79187,0
KBR,Broken Hill,1727.581787,0
TKU,Kurai,46,0
GSO,Soro,825,0
JSO,Solida,1105.964966,0
GAN,Andua,1527,0
LAM,Ambuasutz,47,0
LUN,Uni Tech-Sogeri Drive,64,1
TMI,Mituai,45,0
LKA,Karanas No.2,733.828613,1
BIR,IRIMUKU,5,0
BMO,Morovamu,5,0
BMA,Mapaio,9,0
AAW,AWABA,30,0
AKI,KIMAMA,54,0
BMI,Miaru,9,0
ABI,Bisuaka (Saguanso),9,0
CPO,Poba Abala,21,0
OYR,Yiriwondi,21,0
EGA,Gameta,23.8,0
OTO,Tomontonik,23.8,0
FAH,Ahora,8,0
FTT,Totogata,93,0
FTO,Tombata,111,0
FUR,Ururu,597,0
FFO,Founa,8,0
DVA,Vadavada S'mnt - Tutu,33,1
DCO,Coot St.,28,1
CMA,Madevate Settlement,66,1
DDO,Dogura Rd.,9,1
DSA,Sabama S'mnt -Kilakila Agr.,54,1
DSB,Sabama S'mnt,9,1
CUP,Upulima Block,43,0
CKA,Kapari,17,not urban
CTO,Toule Comm. School,17,no
EAW,Awaiama,5.8,0
EHA,Hagita,40.8,0
EDC,DCA Gurney Airport,45.7,0
HKS,Kusi,13.8,0
EBE,Bedauna,13.8,0
